"CASE","language","am_use_0","am_use_1","am_use_2","am_use_3","am_use_4","am_use_5","am_use_6","am_use_7","bed_use_0","bed_use_1","bed_use_2","bed_use_3","bed_use_4","bed_use_5","bed_use_6","bed_use_7","ds_use_0","ds_use_1","ds_use_2","ds_use_3","ds_use_4","ds_use_5","ds_use_6","ds_use_7","mvs_use_0","mvs_use_1","mvs_use_2","mvs_use_3","mvs_use_4","mvs_use_5","mvs_use_6","mvs_use_7"
615,"ES",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
616,"ES",5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
617,"ES",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
618,"ES",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
619,"ES",5,1,1,1,1,1,1,"En hospitales con especialidad de rehabilitación fisica",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
621,"ES",2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
622,"ES",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
625,"ES",6,1,1,1,1,1,1,"Hospitales de rehabilitacion fisica, centros medicos como teleton en mexico",4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
626,"ES",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
627,"ES",5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
628,"ES",2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
630,"ES",2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
631,"ES",2,1,1,1,1,1,1,"En cualquier hospital donde atiendan traumas y accidentes al igual que malformaciones",2,1,1,1,1,1,1,NA,6,1,1,1,1,1,1,"En cualquier campo",2,1,1,1,1,1,1,NA
632,"ES",3,1,1,1,1,1,1,"Medicina Física y de Rehabilitación",3,1,1,1,1,1,1,"Asilos",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,"Consulta externa"
633,"ES",2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
634,"ES",2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
635,"ES",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
636,"ES",5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
637,"ES",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
638,"ES",2,1,1,1,1,1,1,"Cirugía vascular",2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
639,"ES",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
640,"ES",4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
641,"ES",3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
642,"ES",5,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
643,"EN",4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA
644,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
645,"ES",4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
646,"EN",3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
647,"EN",4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,6,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
648,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
649,"EN",5,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
650,"EN",4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
651,"EN",1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
652,"EN",1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
653,"EN",1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
654,"EN",1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
655,"EN",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
657,"EN",3,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
658,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
659,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
660,"EN",2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
661,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
662,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
663,"EN",2,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
664,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
665,"EN",2,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
666,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
667,"EN",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA
668,"EN",2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA
669,"EN",3,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
670,"EN",2,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA,5,1,1,1,1,1,1,NA
671,"EN",4,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,NA
672,"EN",4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,NA
